age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
4,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0
3,1,1,1,0,1,0,0,0,5,0,2,1,0,0,0,0
1,2,0,1,0,1,0,1,0,5,0,2,1,0,0,0,0
3,3,0,2,0,0,0,0,0,5,0,2,1,0,0,0,0
1,4,1,2,0,1,1,0,0,5,0,0,1,0,0,0,0
2,0,0,0,0,2,0,0,0,5,0,2,1,0,0,0,0
1,0,1,0,0,2,0,1,0,5,0,0,1,0,0,0,0
3,2,2,0,1,1,0,0,0,5,0,3,1,0,0,0,0
4,5,0,3,0,2,0,0,0,5,0,2,1,0,0,0,0
3,1,1,1,0,3,0,0,0,5,0,2,1,0,0,0,0
3,6,2,1,0,2,0,0,0,5,0,0,1,0,0,0,0
1,6,1,1,0,2,0,0,0,5,0,2,1,0,0,0,0
4,1,0,1,0,1,0,0,0,5,0,3,1,0,0,0,0
4,1,0,2,0,1,0,0,0,5,0,2,1,0,0,0,0
4,7,0,1,0,2,0,0,0,5,0,2,1,0,0,0,0
4,5,0,3,0,2,0,0,0,5,0,3,1,0,0,0,0
3,6,1,2,0,1,0,0,0,5,0,2,1,0,0,0,0
4,3,0,3,0,1,0,0,0,5,0,2,1,0,0,0,0
4,5,0,3,0,1,0,0,0,5,0,0,1,0,0,0,0
1,7,0,1,0,1,0,0,0,5,0,2,1,0,0,0,0
1,3,0,1,0,3,0,1,0,5,0,0,1,0,0,0,0
4,0,0,0,0,3,0,0,0,5,0,2,1,0,0,0,0
1,3,1,3,0,1,0,1,0,5,0,2,1,0,0,0,0
1,7,0,1,0,1,0,0,0,5,0,3,1,0,0,0,0
3,5,0,3,0,1,0,1,0,5,0,0,1,0,0,0,0
3,6,0,1,0,1,0,0,0,5,0,2,1,0,0,0,0
2,0,1,0,0,2,0,0,0,5,0,0,1,0,0,0,0
4,2,0,1,0,2,0,1,0,5,0,2,1,0,0,0,0
3,0,1,1,0,1,0,0,0,5,0,0,2,0,0,0,0
2,1,1,1,0,2,0,1,0,5,0,3,1,0,0,0,0
4,1,0,1,0,3,1,1,0,5,0,0,1,0,0,0,0
4,0,0,0,0,2,0,0,0,5,0,0,1,0,0,0,0
4,6,0,1,0,1,0,1,0,5,0,0,1,0,0,0,0
4,3,0,1,0,1,0,0,0,5,0,0,1,0,0,0,0
