,decile1b,decile3,decile1,sex,lsat,ugpa,grad,bar1,fulltime,fam_inc,gender,race1,tier
9,7.0,5.0,7.0,1.0,0,0,0,0,1.0,2.0,0,0,1.0
10,2.0,2.0,3.0,1.0,0,0,0,0,1.0,4.0,0,1,2.0
13,6.0,7.0,7.0,1.0,0,0,0,1,1.0,2.0,0,1,3.0
17,5.0,3.0,5.0,1.0,0,0,0,0,1.0,4.0,0,1,5.0
21,1.0,1.0,1.0,1.0,0,0,0,1,1.0,3.0,0,1,3.0
28,7.0,7.0,7.0,1.0,0,0,0,0,1.0,3.0,0,1,2.0
33,6.0,7.0,6.0,1.0,1,0,0,1,1.0,2.0,0,1,4.0
36,10.0,9.0,10.0,1.0,2,0,0,1,1.0,4.0,0,1,3.0
54,1.0,2.0,1.0,1.0,0,0,0,0,1.0,3.0,0,1,4.0
61,2.0,3.0,2.0,2.0,1,0,0,1,1.0,4.0,1,1,5.0
76,2.0,4.0,2.0,2.0,2,0,0,0,1.0,3.0,1,1,2.0
78,7.0,7.0,7.0,1.0,1,0,0,1,1.0,3.0,0,1,4.0
82,4.0,7.0,5.0,2.0,2,0,0,0,2.0,3.0,1,1,3.0
88,2.0,4.0,2.0,2.0,3,0,0,0,1.0,3.0,1,1,6.0
91,10.0,9.0,10.0,2.0,1,0,0,1,1.0,3.0,1,1,3.0
93,6.0,9.0,6.0,2.0,3,0,0,0,1.0,2.0,1,1,3.0
121,7.0,6.0,8.0,2.0,3,0,0,1,1.0,5.0,1,1,4.0
123,3.0,3.0,3.0,2.0,0,0,0,1,1.0,4.0,1,1,3.0
130,8.0,7.0,8.0,1.0,1,0,0,1,1.0,4.0,0,1,3.0
132,4.0,3.0,4.0,1.0,0,0,0,0,1.0,5.0,0,1,4.0
135,2.0,2.0,2.0,2.0,0,0,0,0,1.0,4.0,1,1,4.0
145,3.0,3.0,4.0,2.0,0,0,0,1,1.0,4.0,1,1,2.0
148,7.0,7.0,7.0,1.0,3,0,0,1,1.0,3.0,0,1,6.0
150,4.0,4.0,4.0,1.0,0,0,0,0,1.0,1.0,0,1,4.0
162,8.0,4.0,8.0,1.0,0,0,0,1,1.0,3.0,0,1,5.0
165,5.0,4.0,5.0,1.0,2,0,0,1,1.0,4.0,0,1,3.0
166,5.0,4.0,5.0,2.0,1,0,0,1,1.0,4.0,1,1,4.0
171,4.0,2.0,4.0,2.0,1,0,0,0,1.0,3.0,1,1,4.0
175,2.0,1.0,2.0,1.0,1,0,0,0,1.0,4.0,0,2,5.0
182,1.0,1.0,1.0,1.0,1,0,0,1,1.0,5.0,0,1,4.0
211,5.0,6.0,5.0,1.0,0,0,0,1,1.0,3.0,0,1,3.0
222,9.0,9.0,9.0,2.0,0,0,0,1,1.0,2.0,1,1,5.0
227,1.0,2.0,1.0,1.0,3,0,0,1,1.0,3.0,0,1,6.0
230,2.0,1.0,2.0,2.0,0,0,0,1,1.0,3.0,1,1,5.0
239,1.0,1.0,1.0,1.0,0,0,0,0,1.0,3.0,0,1,4.0
244,4.0,4.0,4.0,1.0,0,0,0,0,1.0,4.0,0,3,3.0
245,6.0,7.0,6.0,2.0,0,0,0,0,2.0,3.0,1,1,5.0
247,7.0,7.0,7.0,2.0,3,0,0,1,1.0,4.0,1,1,6.0
251,3.0,3.0,3.0,1.0,1,0,0,1,1.0,3.0,0,2,4.0
256,9.0,8.0,9.0,2.0,0,0,0,1,1.0,4.0,1,1,2.0
262,9.0,8.0,9.0,2.0,1,0,0,1,1.0,3.0,1,2,5.0
269,6.0,5.0,6.0,1.0,0,0,0,1,1.0,4.0,0,1,3.0
272,2.0,1.0,2.0,2.0,2,0,0,0,1.0,3.0,1,1,4.0
273,8.0,7.0,8.0,1.0,0,0,0,1,1.0,3.0,0,1,2.0
274,1.0,2.0,1.0,1.0,2,0,0,0,2.0,4.0,0,1,3.0
276,2.0,2.0,3.0,2.0,0,0,0,0,1.0,5.0,1,1,3.0
282,10.0,10.0,10.0,1.0,1,0,0,1,2.0,1.0,0,1,5.0
287,8.0,8.0,9.0,2.0,1,0,0,1,1.0,4.0,1,1,3.0
